2026/05/28 13:15:35 INFO edge-agent starting node_id=DESKTOP-JJ7VQVF interval=5s
2026/05/28 13:15:40 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_usage_total_percent value=10.095362515041257
2026/05/28 13:15:40 INFO sample entity_type=ram entity_id=DESKTOP-JJ7VQVF:ram0 metric=ram_used_percent value=77.92328603419944
2026/05/28 13:15:40 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_temperature_celsius value=57.68458664454127
2026/05/28 13:15:45 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_usage_total_percent value=61.90075411532479
2026/05/28 13:15:45 INFO sample entity_type=ram entity_id=DESKTOP-JJ7VQVF:ram0 metric=ram_used_percent value=55.05378651781694
2026/05/28 13:15:45 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_temperature_celsius value=69.86157928420906
2026/05/28 13:15:50 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_usage_total_percent value=24.58595757025528
2026/05/28 13:15:50 INFO sample entity_type=ram entity_id=DESKTOP-JJ7VQVF:ram0 metric=ram_used_percent value=69.84611614582467
2026/05/28 13:15:50 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_temperature_celsius value=68.84418284177205
2026/05/28 13:15:55 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_usage_total_percent value=25.14455102736724
2026/05/28 13:15:55 INFO sample entity_type=ram entity_id=DESKTOP-JJ7VQVF:ram0 metric=ram_used_percent value=78.97968159677919
2026/05/28 13:15:55 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_temperature_celsius value=58.515855042494664
2026/05/28 13:16:00 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_usage_total_percent value=66.6055066293369
2026/05/28 13:16:00 INFO sample entity_type=ram entity_id=DESKTOP-JJ7VQVF:ram0 metric=ram_used_percent value=71.86589018273186
2026/05/28 13:16:00 INFO sample entity_type=cpu entity_id=DESKTOP-JJ7VQVF:cpu0 metric=cpu_temperature_celsius value=69.41723815341427
